# New log file created
2026-03-09 23:14:10,420 INFO: Protocol=DNS, Size=92, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:14:10,445 INFO: Protocol=DNS, Size=227, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:14:10,500 INFO: Protocol=TCP, Size=66, Src=192.168.147.246, Dst=13.89.179.11
2026-03-09 23:14:10,620 INFO: Protocol=TCP, Size=70, Src=13.89.179.11, Dst=192.168.147.246
2026-03-09 23:14:11,144 INFO: Protocol=TCP, Size=70, Src=13.89.179.11, Dst=192.168.147.246
2026-03-09 23:14:12,017 INFO: Protocol=DNS, Size=92, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:14:12,023 INFO: Protocol=DNS, Size=92, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:14:12,042 INFO: Protocol=DNS, Size=215, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:14:12,047 INFO: Protocol=DNS, Size=92, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:14:12,086 INFO: Protocol=DNS, Size=227, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:14:12,097 INFO: Protocol=TCP, Size=66, Src=192.168.147.246, Dst=104.208.16.89
2026-03-09 23:14:12,118 INFO: Protocol=TCP, Size=70, Src=13.89.179.11, Dst=192.168.147.246
2026-03-09 23:14:12,149 INFO: Protocol=TCP, Size=70, Src=104.208.16.89, Dst=192.168.147.246
2026-03-09 23:14:12,676 INFO: Protocol=TCP, Size=70, Src=104.208.16.89, Dst=192.168.147.246
2026-03-09 23:14:13,658 INFO: Protocol=TCP, Size=66, Src=192.168.147.246, Dst=104.208.16.89
2026-03-09 23:14:13,828 INFO: Protocol=TCP, Size=70, Src=104.208.16.89, Dst=192.168.147.246
2026-03-09 23:14:13,951 INFO: Protocol=TCP, Size=70, Src=104.208.16.89, Dst=192.168.147.246
2026-03-09 23:14:14,076 INFO: Protocol=TCP, Size=70, Src=104.208.16.89, Dst=192.168.147.246
2026-03-09 23:14:14,561 INFO: Protocol=TCP, Size=70, Src=13.89.179.11, Dst=192.168.147.246
2026-03-09 23:14:16,739 INFO: Protocol=TCP, Size=70, Src=104.208.16.89, Dst=192.168.147.246
2026-03-09 23:14:17,164 INFO: Protocol=TCP, Size=70, Src=104.208.16.89, Dst=192.168.147.246
2026-03-09 23:14:17,351 INFO: Protocol=TCP, Size=70, Src=104.208.16.89, Dst=192.168.147.246
2026-03-09 23:14:17,925 INFO: Protocol=TLS, Size=77, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:14:18,043 INFO: Protocol=TCP, Size=77, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:14:18,129 INFO: Protocol=TCP, Size=54, Src=134.224.240.223, Dst=192.168.147.246
2026-03-09 23:14:18,156 INFO: Protocol=TLS, Size=264, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:14:18,450 INFO: Protocol=TCP, Size=54, Src=134.224.240.223, Dst=192.168.147.246
2026-03-09 23:14:18,473 INFO: Protocol=TLS, Size=129, Src=134.224.240.223, Dst=192.168.147.246
2026-03-09 23:14:18,532 INFO: Protocol=TCP, Size=54, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:14:20,928 INFO: Protocol=DNS, Size=79, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:14:20,943 INFO: Protocol=DNS, Size=79, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:14:20,956 INFO: Protocol=DNS, Size=79, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:14:20,985 INFO: Protocol=DNS, Size=129, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:14:20,993 INFO: Protocol=DNS, Size=107, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:14:21,005 INFO: Protocol=DNS, Size=95, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:14:31,301 INFO: Protocol=TLS, Size=264, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:14:31,797 INFO: Protocol=TLS, Size=128, Src=134.224.240.223, Dst=192.168.147.246
2026-03-09 23:14:31,814 INFO: Protocol=TCP, Size=54, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:14:45,430 INFO: Protocol=TLS, Size=77, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:14:45,976 INFO: Protocol=TCP, Size=54, Src=134.224.240.223, Dst=192.168.147.246
2026-03-09 23:15:01,731 INFO: Protocol=TLS, Size=264, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:15:01,991 INFO: Protocol=TCP, Size=54, Src=134.224.240.223, Dst=192.168.147.246
2026-03-09 23:15:02,003 INFO: Protocol=TLS, Size=129, Src=134.224.240.223, Dst=192.168.147.246
2026-03-09 23:15:02,022 INFO: Protocol=TCP, Size=54, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:15:19,359 INFO: Protocol=DNS, Size=88, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:15:19,370 INFO: Protocol=DNS, Size=88, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:15:19,381 INFO: Protocol=DNS, Size=88, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:15:19,391 INFO: Protocol=DNS, Size=172, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:15:19,401 INFO: Protocol=DNS, Size=309, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:15:19,407 INFO: Protocol=DNS, Size=273, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:15:19,625 INFO: Protocol=TCP, Size=66, Src=192.168.147.246, Dst=3.233.158.26
2026-03-09 23:15:19,960 INFO: Protocol=TCP, Size=66, Src=192.168.147.246, Dst=3.233.158.26
2026-03-09 23:15:20,048 INFO: Protocol=TCP, Size=70, Src=3.233.158.26, Dst=192.168.147.246
2026-03-09 23:15:20,230 INFO: Protocol=TCP, Size=70, Src=3.233.158.26, Dst=192.168.147.246
2026-03-09 23:15:21,240 INFO: Protocol=TCP, Size=70, Src=3.233.158.26, Dst=192.168.147.246
2026-03-09 23:15:21,418 INFO: Protocol=TCP, Size=70, Src=3.233.158.26, Dst=192.168.147.246
2026-03-09 23:15:22,461 INFO: Protocol=DNS, Size=89, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:15:22,476 INFO: Protocol=DNS, Size=89, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:15:22,490 INFO: Protocol=DNS, Size=89, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:15:22,506 INFO: Protocol=DNS, Size=146, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:15:22,520 INFO: Protocol=DNS, Size=117, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:15:22,555 INFO: Protocol=DNS, Size=105, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:15:23,379 INFO: Protocol=TCP, Size=70, Src=3.233.158.26, Dst=192.168.147.246
2026-03-09 23:15:23,488 INFO: Protocol=TCP, Size=70, Src=3.233.158.26, Dst=192.168.147.246
2026-03-09 23:15:24,830 INFO: Protocol=DNS, Size=80, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:15:24,845 INFO: Protocol=DNS, Size=80, Src=192.168.147.246, Dst=192.168.147.149
2026-03-09 23:15:24,863 INFO: Protocol=DNS, Size=236, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:15:24,887 INFO: Protocol=DNS, Size=248, Src=192.168.147.149, Dst=192.168.147.246
2026-03-09 23:15:27,166 INFO: Protocol=TCP, Size=70, Src=3.233.158.26, Dst=192.168.147.246
2026-03-09 23:15:27,427 INFO: Protocol=TCP, Size=70, Src=3.233.158.26, Dst=192.168.147.246
2026-03-09 23:15:31,807 INFO: Protocol=TLS, Size=287, Src=192.168.147.246, Dst=134.224.240.223
2026-03-09 23:15:32,085 INFO: Protocol=TLS, Size=128, Src=134.224.240.223, Dst=192.168.147.246
